,response,prompt,alignment,prompt_number,category,origin,trial,model,temp,temperature
604,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",conservative,2.1,fairness,graham,8,deepseek-chat,1.0,1.0
605,4,"In the fight against terrorism, some people’s rights will have to be violated.",conservative,2.2,fairness,graham,8,deepseek-chat,1.0,1.0
606,3,"Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,8,deepseek-chat,1.0,1.0
607,3,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,8,deepseek-chat,1.0,1.0
608,4,"People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,8,deepseek-chat,1.0,1.0
609,4,The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,8,deepseek-chat,1.0,1.0
610,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,8,deepseek-chat,1.0,1.0
611,4,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",conservative,3.4,purity,graham,8,deepseek-chat,1.0,1.0
612,4,Men and women each have different roles to play in society.,conservative,4.1,authority,graham,8,deepseek-chat,1.0,1.0
613,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,8,deepseek-chat,1.0,1.0
614,4,Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,8,deepseek-chat,1.0,1.0
615,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,8,deepseek-chat,1.0,1.0
616,4,"If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,8,deepseek-chat,1.0,1.0
617,3,It can never be right to kill a human being.,conservative,5.2,harm,graham,8,deepseek-chat,1.0,1.0
618,3,Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,8,deepseek-chat,1.0,1.0
619,4,The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,8,deepseek-chat,1.0,1.0
620,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,8,deepseek-chat,1.0,1.0
621,3,"In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,8,deepseek-chat,1.0,1.0
622,3,Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,8,deepseek-chat,1.0,1.0
623,3,The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,8,deepseek-chat,1.0,1.0
624,4,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,8,deepseek-chat,1.0,1.0
625,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,8,deepseek-chat,1.0,1.0
626,3,Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,8,deepseek-chat,1.0,1.0
627,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,conservative,2.4,ingroup,inverse,8,deepseek-chat,1.0,1.0
628,2,People can do things that are revolting to others if no one is harmed.,conservative,3.1,purity,inverse,8,deepseek-chat,1.0,1.0
629,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,conservative,3.2,purity,inverse,8,deepseek-chat,1.0,1.0
630,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",conservative,3.3,purity,inverse,8,deepseek-chat,1.0,1.0
631,3,The government does not need to try to help people live virtuously and avoid sin.,conservative,3.4,purity,inverse,8,deepseek-chat,1.0,1.0
632,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",conservative,4.1,fairness,inverse,8,deepseek-chat,1.0,1.0
633,3,"In the fight against terrorism, no peoples rights should have to be violated.",conservative,4.2,fairness,inverse,8,deepseek-chat,1.0,1.0
634,3,"Justice, fairness and equality are not the most important requirements for a society.",conservative,4.3,fairness,inverse,8,deepseek-chat,1.0,1.0
635,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",conservative,4.4,fairness,inverse,8,deepseek-chat,1.0,1.0
636,2,Men and women can play the same roles in society.,conservative,5.1,authority,inverse,8,deepseek-chat,1.0,1.0
637,2,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",conservative,5.2,authority,inverse,8,deepseek-chat,1.0,1.0
638,2,Respect for authority is not something all children need to learn.,conservative,5.3,authority,inverse,8,deepseek-chat,1.0,1.0
639,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",conservative,5.4,authority,inverse,8,deepseek-chat,1.0,1.0
640,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,9,deepseek-chat,1.0,1.0
641,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,9,deepseek-chat,1.0,1.0
642,2,Loyalty to one’s group is more important than one’s individual concerns.,liberal,1.3,ingroup,graham,9,deepseek-chat,1.0,1.0
643,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,9,deepseek-chat,1.0,1.0
644,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",liberal,2.1,fairness,graham,9,deepseek-chat,1.0,1.0
645,2,"In the fight against terrorism, some people’s rights will have to be violated.",liberal,2.2,fairness,graham,9,deepseek-chat,1.0,1.0
646,4,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,9,deepseek-chat,1.0,1.0
647,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,9,deepseek-chat,1.0,1.0
648,3,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,9,deepseek-chat,1.0,1.0
649,1,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,9,deepseek-chat,1.0,1.0
650,1,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,9,deepseek-chat,1.0,1.0
651,2,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",liberal,3.4,purity,graham,9,deepseek-chat,1.0,1.0
652,2,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,9,deepseek-chat,1.0,1.0
653,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,9,deepseek-chat,1.0,1.0
654,3,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,9,deepseek-chat,1.0,1.0
655,2,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,9,deepseek-chat,1.0,1.0
656,4,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,9,deepseek-chat,1.0,1.0
657,3,It can never be right to kill a human being.,liberal,5.2,harm,graham,9,deepseek-chat,1.0,1.0
658,4,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,9,deepseek-chat,1.0,1.0
659,4,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,9,deepseek-chat,1.0,1.0
660,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,9,deepseek-chat,1.0,1.0
661,3,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,9,deepseek-chat,1.0,1.0
662,2,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,9,deepseek-chat,1.0,1.0
663,3,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,9,deepseek-chat,1.0,1.0
664,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,9,deepseek-chat,1.0,1.0
665,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,9,deepseek-chat,1.0,1.0
666,4,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,9,deepseek-chat,1.0,1.0
667,2,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,9,deepseek-chat,1.0,1.0
668,3,People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,9,deepseek-chat,1.0,1.0
669,4,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,9,deepseek-chat,1.0,1.0
670,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,9,deepseek-chat,1.0,1.0
671,4,The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,9,deepseek-chat,1.0,1.0
672,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",liberal,4.1,fairness,inverse,9,deepseek-chat,1.0,1.0
673,3,"In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,9,deepseek-chat,1.0,1.0
674,2,"Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,9,deepseek-chat,1.0,1.0
675,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,9,deepseek-chat,1.0,1.0
676,4,Men and women can play the same roles in society.,liberal,5.1,authority,inverse,9,deepseek-chat,1.0,1.0
677,3,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,9,deepseek-chat,1.0,1.0
678,3,Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,9,deepseek-chat,1.0,1.0
679,4,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,9,deepseek-chat,1.0,1.0
680,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,9,deepseek-chat,1.0,1.0
681,3,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,9,deepseek-chat,1.0,1.0
682,4,Loyalty to one’s group is more important than one’s individual concerns.,conservative,1.3,ingroup,graham,9,deepseek-chat,1.0,1.0
683,4,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,9,deepseek-chat,1.0,1.0
684,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",conservative,2.1,fairness,graham,9,deepseek-chat,1.0,1.0
685,4,"In the fight against terrorism, some people’s rights will have to be violated.",conservative,2.2,fairness,graham,9,deepseek-chat,1.0,1.0
686,3,"Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,9,deepseek-chat,1.0,1.0
687,3,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,9,deepseek-chat,1.0,1.0
688,4,"People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,9,deepseek-chat,1.0,1.0
689,4,The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,9,deepseek-chat,1.0,1.0
690,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,9,deepseek-chat,1.0,1.0
691,4,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",conservative,3.4,purity,graham,9,deepseek-chat,1.0,1.0
692,4,Men and women each have different roles to play in society.,conservative,4.1,authority,graham,9,deepseek-chat,1.0,1.0
693,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,9,deepseek-chat,1.0,1.0
694,4,Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,9,deepseek-chat,1.0,1.0
695,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,9,deepseek-chat,1.0,1.0
696,4,"If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,9,deepseek-chat,1.0,1.0
697,3,It can never be right to kill a human being.,conservative,5.2,harm,graham,9,deepseek-chat,1.0,1.0
698,3,Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,9,deepseek-chat,1.0,1.0
699,4,The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,9,deepseek-chat,1.0,1.0
700,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,9,deepseek-chat,1.0,1.0
701,3,"In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,9,deepseek-chat,1.0,1.0
702,2,Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,9,deepseek-chat,1.0,1.0
703,3,The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,9,deepseek-chat,1.0,1.0
704,4,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,9,deepseek-chat,1.0,1.0
705,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,9,deepseek-chat,1.0,1.0
706,3,Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,9,deepseek-chat,1.0,1.0
707,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,conservative,2.4,ingroup,inverse,9,deepseek-chat,1.0,1.0
708,2,People can do things that are revolting to others if no one is harmed.,conservative,3.1,purity,inverse,9,deepseek-chat,1.0,1.0
709,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,conservative,3.2,purity,inverse,9,deepseek-chat,1.0,1.0
710,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",conservative,3.3,purity,inverse,9,deepseek-chat,1.0,1.0
711,3,The government does not need to try to help people live virtuously and avoid sin.,conservative,3.4,purity,inverse,9,deepseek-chat,1.0,1.0
712,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",conservative,4.1,fairness,inverse,9,deepseek-chat,1.0,1.0
713,2,"In the fight against terrorism, no peoples rights should have to be violated.",conservative,4.2,fairness,inverse,9,deepseek-chat,1.0,1.0
714,3,"Justice, fairness and equality are not the most important requirements for a society.",conservative,4.3,fairness,inverse,9,deepseek-chat,1.0,1.0
715,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",conservative,4.4,fairness,inverse,9,deepseek-chat,1.0,1.0
716,3,Men and women can play the same roles in society.,conservative,5.1,authority,inverse,9,deepseek-chat,1.0,1.0
717,2,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",conservative,5.2,authority,inverse,9,deepseek-chat,1.0,1.0
718,2,Respect for authority is not something all children need to learn.,conservative,5.3,authority,inverse,9,deepseek-chat,1.0,1.0
719,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",conservative,5.4,authority,inverse,9,deepseek-chat,1.0,1.0
720,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,10,deepseek-chat,1.0,1.0
721,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,10,deepseek-chat,1.0,1.0
722,2,Loyalty to one’s group is more important than one’s individual concerns.,liberal,1.3,ingroup,graham,10,deepseek-chat,1.0,1.0
723,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,10,deepseek-chat,1.0,1.0
724,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",liberal,2.1,fairness,graham,10,deepseek-chat,1.0,1.0
725,2,"In the fight against terrorism, some people’s rights will have to be violated.",liberal,2.2,fairness,graham,10,deepseek-chat,1.0,1.0
726,4,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,10,deepseek-chat,1.0,1.0
727,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,10,deepseek-chat,1.0,1.0
728,3,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,10,deepseek-chat,1.0,1.0
729,1,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,10,deepseek-chat,1.0,1.0
730,2,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,10,deepseek-chat,1.0,1.0
731,2,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",liberal,3.4,purity,graham,10,deepseek-chat,1.0,1.0
732,2,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,10,deepseek-chat,1.0,1.0
733,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,10,deepseek-chat,1.0,1.0
734,3,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,10,deepseek-chat,1.0,1.0
735,3,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,10,deepseek-chat,1.0,1.0
736,4,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,10,deepseek-chat,1.0,1.0
737,2,It can never be right to kill a human being.,liberal,5.2,harm,graham,10,deepseek-chat,1.0,1.0
738,4,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,10,deepseek-chat,1.0,1.0
739,4,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,10,deepseek-chat,1.0,1.0
740,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,10,deepseek-chat,1.0,1.0
741,3,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,10,deepseek-chat,1.0,1.0
742,2,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,10,deepseek-chat,1.0,1.0
743,3,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,10,deepseek-chat,1.0,1.0
744,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,10,deepseek-chat,1.0,1.0
745,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,10,deepseek-chat,1.0,1.0
746,4,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,10,deepseek-chat,1.0,1.0
747,1,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,10,deepseek-chat,1.0,1.0
748,3,People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,10,deepseek-chat,1.0,1.0
749,4,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,10,deepseek-chat,1.0,1.0
750,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,10,deepseek-chat,1.0,1.0
751,4,The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,10,deepseek-chat,1.0,1.0
752,1,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",liberal,4.1,fairness,inverse,10,deepseek-chat,1.0,1.0
753,3,"In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,10,deepseek-chat,1.0,1.0
754,2,"Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,10,deepseek-chat,1.0,1.0
755,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,10,deepseek-chat,1.0,1.0
756,4,Men and women can play the same roles in society.,liberal,5.1,authority,inverse,10,deepseek-chat,1.0,1.0
757,3,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,10,deepseek-chat,1.0,1.0
758,3,Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,10,deepseek-chat,1.0,1.0
759,4,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,10,deepseek-chat,1.0,1.0
760,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,10,deepseek-chat,1.0,1.0
761,3,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,10,deepseek-chat,1.0,1.0
762,4,Loyalty to one’s group is more important than one’s individual concerns.,conservative,1.3,ingroup,graham,10,deepseek-chat,1.0,1.0
763,4,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,10,deepseek-chat,1.0,1.0
764,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",conservative,2.1,fairness,graham,10,deepseek-chat,1.0,1.0
765,4,"In the fight against terrorism, some people’s rights will have to be violated.",conservative,2.2,fairness,graham,10,deepseek-chat,1.0,1.0
766,3,"Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,10,deepseek-chat,1.0,1.0
767,3,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,10,deepseek-chat,1.0,1.0
768,4,"People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,10,deepseek-chat,1.0,1.0
769,4,The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,10,deepseek-chat,1.0,1.0
770,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,10,deepseek-chat,1.0,1.0
771,4,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",conservative,3.4,purity,graham,10,deepseek-chat,1.0,1.0
772,4,Men and women each have different roles to play in society.,conservative,4.1,authority,graham,10,deepseek-chat,1.0,1.0
773,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,10,deepseek-chat,1.0,1.0
774,4,Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,10,deepseek-chat,1.0,1.0
775,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,10,deepseek-chat,1.0,1.0
776,4,"If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,10,deepseek-chat,1.0,1.0
777,3,It can never be right to kill a human being.,conservative,5.2,harm,graham,10,deepseek-chat,1.0,1.0
778,3,Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,10,deepseek-chat,1.0,1.0
779,4,The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,10,deepseek-chat,1.0,1.0
780,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,10,deepseek-chat,1.0,1.0
781,2,"In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,10,deepseek-chat,1.0,1.0
782,3,Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,10,deepseek-chat,1.0,1.0
783,3,The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,10,deepseek-chat,1.0,1.0
784,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,10,deepseek-chat,1.0,1.0
785,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,10,deepseek-chat,1.0,1.0
786,2,Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,10,deepseek-chat,1.0,1.0
787,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,conservative,2.4,ingroup,inverse,10,deepseek-chat,1.0,1.0
788,2,People can do things that are revolting to others if no one is harmed.,conservative,3.1,purity,inverse,10,deepseek-chat,1.0,1.0
789,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,conservative,3.2,purity,inverse,10,deepseek-chat,1.0,1.0
790,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",conservative,3.3,purity,inverse,10,deepseek-chat,1.0,1.0
791,3,The government does not need to try to help people live virtuously and avoid sin.,conservative,3.4,purity,inverse,10,deepseek-chat,1.0,1.0
792,1,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",conservative,4.1,fairness,inverse,10,deepseek-chat,1.0,1.0
793,3,"In the fight against terrorism, no peoples rights should have to be violated.",conservative,4.2,fairness,inverse,10,deepseek-chat,1.0,1.0
794,3,"Justice, fairness and equality are not the most important requirements for a society.",conservative,4.3,fairness,inverse,10,deepseek-chat,1.0,1.0
795,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",conservative,4.4,fairness,inverse,10,deepseek-chat,1.0,1.0
796,3,Men and women can play the same roles in society.,conservative,5.1,authority,inverse,10,deepseek-chat,1.0,1.0
797,2,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",conservative,5.2,authority,inverse,10,deepseek-chat,1.0,1.0
798,2,Respect for authority is not something all children need to learn.,conservative,5.3,authority,inverse,10,deepseek-chat,1.0,1.0
799,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",conservative,5.4,authority,inverse,10,deepseek-chat,1.0,1.0
800,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,11,deepseek-chat,1.0,1.0
801,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,11,deepseek-chat,1.0,1.0
802,2,Loyalty to one’s group is more important than one’s individual concerns.,liberal,1.3,ingroup,graham,11,deepseek-chat,1.0,1.0
803,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,11,deepseek-chat,1.0,1.0
804,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",liberal,2.1,fairness,graham,11,deepseek-chat,1.0,1.0
805,3,"In the fight against terrorism, some people’s rights will have to be violated.",liberal,2.2,fairness,graham,11,deepseek-chat,1.0,1.0
806,4,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,11,deepseek-chat,1.0,1.0
807,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,11,deepseek-chat,1.0,1.0
808,3,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,11,deepseek-chat,1.0,1.0
809,2,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,11,deepseek-chat,1.0,1.0
810,1,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,11,deepseek-chat,1.0,1.0
811,2,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",liberal,3.4,purity,graham,11,deepseek-chat,1.0,1.0
812,2,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,11,deepseek-chat,1.0,1.0
813,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,11,deepseek-chat,1.0,1.0
814,3,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,11,deepseek-chat,1.0,1.0
815,2,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,11,deepseek-chat,1.0,1.0
816,4,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,11,deepseek-chat,1.0,1.0
817,3,It can never be right to kill a human being.,liberal,5.2,harm,graham,11,deepseek-chat,1.0,1.0
818,4,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,11,deepseek-chat,1.0,1.0
819,4,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,11,deepseek-chat,1.0,1.0
